blood_group,user_id,company,registration,address,ssn,username,name,mail,station_ID,longitude,latitude
AB-,1104,Branciforte SPA,2020-10-31,,PRZNNS32M02F087B,schiavoeliana,Fernanda Interminei,boccacciopier@libero.it,8,85.734564,74.973343
O-,1297,Goldoni s.r.l.,2021-12-16,"Piazza Turrini, 90, 82010, Luzzano (BN)",MTASVR72S54D052M,diana41,Dott. Dina Liverotti,giancomisso@yahoo.com,114,77.867062,31.925919
AB-,707,Ditschlerin AG,2018-10-07,"Gutestraße 93-84, 44964 Kötzting",679-61-2983,aleksejdoerschner,Frithjof Steuer,wolfram98@hotmail.de,676,-51.7208345,33.854674
O+,104,Aragão e Filhos,2019-02-18,"Vila de Garcia, 493, Grotinha, 43195955 Moura / CE",53624178008,lrodrigues,Milena Costa,britomiguel@hotmail.com,375,69.522445,-0.906262
A-,202,Briemer,2024-04-30,"Danielle-Bender-Platz 86/61, 89254 Burglengenfeld",276-74-9339,vhauffer,Prof. Krystyna Liebelt,enver05@gmx.de,487,8.0839835,-130.361581
O+,1184,合同会社石川情報,2018-12-13,福島県横浜市保土ケ谷区筑土八幡町3丁目8番20号 パーク渡辺524,805-76-1906,rei98,福田 舞,pkato@hotmail.com,329,47.5384655,-142.406256
B+,161,Le Group,2020-11-11,"87277 Mark Ways, Karlamouth, KS 51706",384-22-8062,francislauren,Lisa Moore,lauren82@hotmail.com,538,13.7495605,-113.790635
A-,807,Casa Grande S/A,2019-01-19,"Praia de Aparecida, 5, Vila Fumec, 21796-004 Barros / PA",97842356173,asa,Levi da Mata,das-nevesapollo@hotmail.com,492,,
O+,2006,Bohnbach GmbH & Co. KGaA,2021-11-23,"Heckerweg 59/71, 06194 Altentreptow",287-52-5715,ottohatice,Prof. Michel Mosemann,hanspeterlinke@googlemail.com,92,-1.385933,-141.348479
A-,1615,合同会社遠藤鉱業,2020-06-20,茨城県四街道市池之端19丁目16番14号,068-64-6109,satonanami,藤井 修平,takumaokada@yahoo.com,44,-66.8780875,28.028689
A+,38,Iannuzzi e figli,2025-04-19,"Contrada Rocca, 42, 85014, Laurenzana (PZ)",CNTLSN31R15I974N,pmarconi,Dott. Allegra Valier,lpetralli@libero.it,336,27.633947,7.333458
A-,544,Siering Heidrich GmbH & Co. OHG,2024-01-08,,775-47-2855,nreinhardt,Prof. Ann-Kathrin Stiebitz MBA.,genoveva11@gmail.com,52,-6.648199,177.64065
O+,1098,Pacheco,2020-07-05,"Praia de Teixeira, 42, Nazare, 94324295 Gonçalves / AP",54310726925,cecilianogueira,Gustavo Henrique Novais,azevedomanuela@bol.com.br,463,38.90849,157.208041
AB-,811,Junck Gumprich AG & Co. OHG,2021-02-28,"Traugott-Weller-Weg 7-6, 57182 Sonneberg",770-12-5858,jkiller,Christin Schacht,omatthaei@googlemail.com,570,41.1928775,-176.80865
B+,25,岡本銀行株式会社,2024-05-13,群馬県新島村手岡37丁目20番12号,554-22-5196,naokiishikawa,鈴木 くみ子,iabe@hotmail.com,111,,
A+,63,Baum Paffrath AG & Co. KGaA,2022-02-15,"Henkstr. 6851, 03145 Vohenstrauß",756-25-8529,eberhardtmelitta,Franca Stahr,murat30@hotmail.de,379,-59.9667845,-127.36976
A-,1145,Klapp Wilms GmbH,2024-10-09,"Bienplatz 3/7, 42974 Kyritz",116-13-5269,cruppersberger,Univ.Prof. Ullrich Tintzmann,rosasoeding@gmail.com,335,44.491785,-74.184081
O+,47,田中食品株式会社,2025-06-27,兵庫県印旛郡印旛村湯宮25丁目11番18号 ハイツ藤金737,169-07-2086,manabutanaka,清水 直子,miki35@yahoo.com,24,1.6262585,-66.06733
O+,170,合同会社森農林,2022-07-31,鳥取県千代田区湯宮16丁目4番10号,642-36-1197,kimurarika,佐々木 智也,sayuri82@gmail.com,324,56.430974,157.366445
O+,1010,Mendes,2022-06-05,"Sítio Gustavo Henrique Caldeira, 312, São Salvador, 15321859 Costa Verde / PI",07381296403,agatha37,Maria Sophia Mendes,yurisa@gmail.com,177,-4.433469,-119.727977
B+,1996,Kennedy-Patterson,2019-06-03,,219-67-8940,robert96,Jessica Brown,ramirezdonald@gmail.com,508,-14.0608525,-28.093466
