blood_group	user_id	company	registration	address	job	ssn	username	residence	name	current_location	mail	station_ID
A-	2020	吉田食品合同会社	2024-10-10	和歌山県大島町北上野6丁目11番8号 コート鍛冶ケ沢710	農家	064-31-2320	tomoya94		小林 真綾	(Decimal('35.157982'), Decimal('-105.932633'))	moritomoya@yahoo.com	124
AB+	186	Borges Garcia Ltda.	2024/04/28	"Aeroporto Ravi Pereira, 2
Alpes
13275756 Machado / PB"		98712604313	theo23		Marcela Silva	(Decimal('65.773185'), Decimal('141.001486'))	aragaocarlos-eduardo@bol.com.br	66
B-	275	Albuquerque - ME	09/30/2024, 00:00:00	"Condomínio de Almeida, 775
Vila Novo São Lucas
96090636 Ramos Alegre / PA"		30589621777	theo99		Sr. Cauã Sá	(Decimal('40.8285415'), Decimal('-148.664509'))	tmontenegro@gmail.com	46
A-	1173	有限会社高橋ガス	2021/08/09	和歌山県横浜市港北区今戸29丁目26番1号		175-29-1089	naoko89		鈴木 洋介	(Decimal('-81.8882545'), Decimal('14.949614'))	haruka34@hotmail.com	548
B-	886	Wilms Ehlert AG	2018/09/25	"Beierallee 41/76
17805 Amberg"	Beamter	921-07-1184	rjunk		Agnes Stahr	(Decimal('-31.5416815'), Decimal('30.351485'))	bodo33@aol.de	683
B+	1704	Schönland	08/28/2024, 00:00:00	"Laura-Löwer-Ring 97-30
43156 Husum"	Chirurgiemechaniker	639-62-0135	rohtgeza		Dipl.-Ing. Rosi Löchel MBA.	(Decimal('8.591075'), Decimal('100.985159'))	gretchenradisch@hotmail.de	679
B-	1048	Walker Ltd	08/13/2025, 00:00:00	"33391 Leonard Heights Suite 099
West Jennifer, WV 19813"		001-45-9405	clarkjohn		Michelle Collins	(Decimal('16.2495885'), Decimal('-74.618971'))	nbryant@yahoo.com	561
A+	366	Farrell-Phillips	10/01/2023, 00:00:00	"048 George Islands Suite 974
Mariabury, FL 83819"		301-42-7702	brucealexander		Miss Sue Potter	(Decimal('-25.020361'), Decimal('-174.383495'))	darinharris@gmail.com	638
O-	690	有限会社山田通信	28 Sep 2020	埼玉県川崎市多摩区京橋9丁目13番1号 シティ土呂部547		893-02-8194	hashimotosayuri		井上 康弘	(Decimal('-50.895679'), Decimal('-25.695968'))	hiroshi32@hotmail.com	327
A-	1744	Gabrieli s.r.l.	05/11/2020, 00:00:00	"Stretto Federici, 1 Appartamento 7
84035, Polla (SA)"		TLDMRA25H02D296M	gversace		Sole Bignami	(Decimal('11.9914275'), Decimal('13.769466'))	ornellabuscetta@fastwebnet.it	605
B-	2020	Farnese, Cagnin e Adinolfi s.r.l.	2023-07-12	"Stretto Leone, 25
26861, Retegno (LO)"		CLLFBZ77R23B157K	tmodiano		Jolanda Florio	(Decimal('-22.6852855'), Decimal('-17.723290'))	fuselivalerio@hotmail.com	19
O-	1532	Toscanini s.r.l.	2021-11-27	"Via Fausto, 16
03047, San Giorgio A Liri (FR)"	Editor, magazine features	TSSMNC06L04A053H	xgiannuzzi		Aldo Sorrentino-Giovine	(Decimal('73.5014715'), Decimal('-83.781886'))	oboezio@live.com	21
AB-	91	Fogaça	2023/08/07	"Travessa de Souza, 82
Lindéia
95760-866 Jesus das Flores / TO"	Mestre-de-obras	37421809597	tfogaca		Aurora Pastor	(Decimal('16.4794095'), Decimal('157.787367'))	isabellabarbosa@yahoo.com.br	126
A-	520	Woods Inc	27 Dec 2020	"53249 Turner Bypass
Smithberg, CO 82188"		458-58-9569	ryan23		Jennifer Welch	(Decimal('21.117570'), Decimal('-145.956206'))	dstokes@hotmail.com	76
A-	1659	Rocha Lima e Filhos	2020/02/25	"Núcleo Bella Farias
Vila De Sá
25012-410 Montenegro / SE"		42857063938	walbuquerque		Rael Pires	(Decimal('26.2399735'), Decimal('-133.917378'))	psantos@ig.com.br	671
A+	393	Lima	09/21/2019, 00:00:00	"Alameda de Fonseca
Santa Cecilia
02571-742 Dias Grande / MA"		23789105686	joao-gabrielfonseca		Elisa da Conceição	(Decimal('-0.406609'), Decimal('-2.607556'))	ynascimento@ig.com.br	360
AB-	593	Sorgatz GmbH & Co. KG	2023-06-10	"Nadeschda-Kranz-Platz 8-6
68566 Bergzabern"	Fleischer	891-98-3186	binnerbogdan		Dr. Kenneth Junk	(Decimal('-35.5020795'), Decimal('64.082072'))	zmetz@gmx.de	90
AB+	359	Jockel AG & Co. KG	2019-12-26		Chemikant	427-46-9010	nada64		Branko Kramer	(Decimal('-43.722983'), Decimal('-14.949733'))	kruschwitzrico@aol.de	282
O-	1415	Williams, Torres and Davis	2019/01/27	"0865 Michael Wall Apt. 301
South William, OH 98602"		012-98-7541	williamsbrianna		Michael Suarez	(Decimal('68.3774815'), Decimal('136.078034'))	christopher33@yahoo.com	178
B+	1544	Borroni e figli	2022-03-21	"Rotonda Orlando, 3
86077, Pozzilli (IS)"		TRRGSN83R43G208L	francoantonioni		Corrado Visconti	(Decimal('-27.147030'), Decimal('-164.418776'))	rosinacavalcanti@tele2.it	102
O-	1243	太田情報有限会社	02/19/2024, 00:00:00			265-32-6458	rikafujiwara		松田 直人	(Decimal('64.3185595'), Decimal('7.839302'))	yasuhiroabe@hotmail.com	538
A-	70	Schüler Matthäi OHG mbH	2022-07-14			153-93-8764	roehrdanzhorst-dieter		Pedro Döring	(Decimal('-83.850304'), Decimal('-94.395786'))	silvana27@yahoo.de	411
O+	404	株式会社西村農林	15 Feb 2024			126-19-0226	hidekiokamoto		村上 康弘	(Decimal('-7.987934'), Decimal('144.499197'))	qtakahashi@hotmail.com	122
O+	2101	Santos	2023-09-20	"Distrito Alves, 8
Aparecida 7ª Seção
98520-250 Santos / PI"		32485176035	joao-gabrielsampaio		Thales Rodrigues	(Decimal('-4.7560055'), Decimal('28.974123'))	castrobeatriz@uol.com.br	35
O+	1337	吉田鉱業有限会社	23 Apr 2020	東京都長生郡長柄町戸島33丁目26番19号 筑土八幡町シティ855		261-86-2969	sasakiyosuke		林 舞	(Decimal('-6.624855'), Decimal('96.163313'))	yasuhiro17@yahoo.com	650
B+	1250	Novaes Leão S/A	2022/08/05		Soldador	69835721491	rfreitas		Eloá Guerra	(Decimal('-78.704824'), Decimal('129.735919'))	teixeiraelisa@bol.com.br	220
O+	2003	Römer	2020-01-24		Informatiker	906-58-9062	toni41		Emma Loos	(Decimal('-41.352814'), Decimal('-119.306146'))	jscheel@yahoo.de	412
AB-	1	Moraes	2025/01/19	"Avenida Gomes, 31
Fernão Dias
48594-331 Cavalcanti Grande / DF"	Ambientalista	60241795370	cporto		Enzo Gabriel Guerra	(Decimal('65.9171045'), Decimal('129.233853'))	aurora37@ig.com.br	281
A-	706	三浦銀行合同会社	2020/12/27	埼玉県山武市虎ノ門虎ノ門ヒルズ森タワー16丁目2番20号		359-96-7680	snakamura		伊藤 陽子	(Decimal('73.346095'), Decimal('-59.933565'))	yoichiyoshida@yahoo.com	509
AB+	1081	Spencer Ltd	20 Aug 2022	"018 Michele Plain
Jacksonville, LA 24063"		143-53-4467	brendathornton		Timothy Reed	(Decimal('-65.111368'), Decimal('-156.551100'))	powens@yahoo.com	172
B+	664	Fiebig Wilmsen AG	2019/06/05	"Röhrichtstraße 4429
62807 Dachau"	Fleischer	549-19-2875	schmidtketomasz		Alexej Scheuermann	(Decimal('-46.0120705'), Decimal('-150.055958'))	killerkarl-ludwig@yahoo.de	409
A+	1932	Anderson-Thomas	2025/07/17	"7603 Michele Forest Suite 330
North Brandyland, AL 96256"		632-87-3959	richard80		Melissa Lopez	(Decimal('-2.3150635'), Decimal('-85.966650'))	jillianhenderson@hotmail.com	297
B+	245	株式会社中島水産	2024-02-07	沖縄県川崎市高津区松浦町34丁目18番17号		330-36-0116	isato		鈴木 明美	(Decimal('68.661636'), Decimal('-80.961881'))	yuta61@yahoo.com	600
O-	928	Tarantino s.r.l.	12 Jan 2021		Trade mark attorney	BRTFMM62T22H642F	carolinatozzi		Domenico Scarlatti-Scandone	(Decimal('-32.862534'), Decimal('-19.997783'))	kfoa@virgilio.it	411
A-	662	da Rosa	20 Jul 2023	"Lago Sales, 2
Xodo-Marize
81224-795 Camargo Alegre / SC"	Ginecologista	09634751261	sarahcaldeira		Maria Cecília Casa Grande	(Decimal('-39.8477175'), Decimal('116.700442'))	luanda-luz@hotmail.com	480
A+	1803	佐藤通信有限会社	2025-08-17	岡山県印旛郡栄町中川崎29丁目23番5号	小説家	630-78-8266	takahashiyuta		藤田 健一	(Decimal('-1.2185545'), Decimal('140.726787'))	jinoue@hotmail.com	283
AB-	1665	池田保険株式会社	2019-08-31			374-12-2590	qnakagawa		清水 智也	(Decimal('-79.637869'), Decimal('116.399337'))	ainoue@yahoo.com	501
B-	1536	合同会社高橋建設	2025/04/02	富山県足立区脚折36丁目21番13号	公認会計士	503-51-7444	nanamisato		高橋 健一		xsaito@hotmail.com	714
B-	962	Camanni SPA	30 Nov 2019	"Viale Russo, 16 Piano 1
80067, Sorrento (NA)"		DTTSTL83M03I232V	ritaccagioele		Piergiuseppe Scotti	(Decimal('44.635425'), Decimal('-57.561866'))	sorrentinofrancesco@hotmail.com	85
O-	667	Seidel OHG mbH	30 Apr 2020			034-81-0446	xdoerschner		Susanne Trub	(Decimal('46.066119'), Decimal('59.197234'))	hessnelly@googlemail.com	172
AB-	0	Dörr Wähner GmbH & Co. KG	2021/09/20	"Nohlmansgasse 24/34
16455 Dachau"		447-50-9207	stiebitzmarzena		Kornelius Kramer	(Decimal('7.5638675'), Decimal('-98.052562'))	flantzgernot@aol.de	96
B-	1706	株式会社田中印刷	22 Jan 2024	愛媛県君津市西関宿24丁目9番12号 西小来川パーク826	高等学校教員	542-38-1015	yuta45		中村 京助	(Decimal('-53.1510995'), Decimal('127.880972'))	ksasaki@gmail.com	492
O+	2054	Brown-Shaw	11/21/2024, 00:00:00	"944 James Isle Apt. 986
West Sara, RI 04501"		599-75-1255	bnewton		Brianna Rodriguez	(Decimal('-65.416998'), Decimal('80.849140'))	michaelperez@gmail.com	105
B-	589	Bradford-Holt	11/22/2020, 00:00:00	"317 Mcclure Run Apt. 090
Lake Annefurt, VI 21801"		777-22-7010	sstephens		Francis Carroll	(Decimal('-88.7505145'), Decimal('133.358543'))	lcosta@gmail.com	288
O+	826	Schmiedecke KGaA	02/03/2023, 00:00:00	"Horniggasse 6564
34274 Leipziger Land"		174-80-5779	christophnelly		Rosi Holsten	(Decimal('-62.406027'), Decimal('-67.875527'))	hsegebahn@googlemail.com	173
O+	707	合同会社山田ガス	2025-05-30	愛知県長生郡長柄町外神田18丁目18番19号		807-62-4347	naokosasaki		西村 和也	(Decimal('-72.911377'), Decimal('67.164958'))	aokihanako@gmail.com	37
AB+	247	合同会社三浦情報	16 Aug 2024	埼玉県横浜市鶴見区秋葉原23丁目23番17号	経営者	549-72-5756	takuma08		三浦 結衣	(Decimal('-24.679075'), Decimal('58.523821'))	chiyo35@hotmail.com	333
A-	1806	Heydrich Vogt AG	2021-04-10	"Schlosserweg 62
44947 Bitterfeld"		460-27-6513	eggert14		Sylvia Vollbrecht-Trupp	(Decimal('45.7467715'), Decimal('135.837068'))	kschaefer@gmx.de	657
O-	1950	Henck GmbH & Co. OHG	2024-03-15	"Ackermannstr. 62-67
04611 Erbisdorf"		118-20-2950	notburga66		Monika Wagenknecht	(Decimal('59.297220'), Decimal('-27.171735'))	pfaust@web.de	56
O+	813	Fagotto Group	07/08/2025, 00:00:00	"Contrada Piacentini, 51
92025, Casteltermini (AG)"		MRCLND80H59D945V	antoniogiacometti		Pierangelo Sansoni	(Decimal('55.3159355'), Decimal('72.834881'))	erikacurci@tele2.it	516
AB-	1587	Thompson-Deleon	07/09/2020, 00:00:00	"965 Ashley Forge Suite 925
East Virginia, NJ 94816"	Administrator, arts	255-49-9911	nelsonbrandon		Jaclyn Hogan	(Decimal('70.1797235'), Decimal('155.499782'))	hperry@gmail.com	90
A-	254	Scott, Wood and Aguilar	2020/06/27	"953 Morgan Prairie Suite 230
North Sarah, TN 69917"	General practice doctor	354-46-6753	schultzgerald		Brian Crawford	(Decimal('38.1133005'), Decimal('-21.040794'))	nicole20@yahoo.com	688
AB+	673	Macedo e Filhos	05 Jan 2025	"Passarela Pacheco
Universitário
95589-631 Dias / PA"		78903256492	krios		Gabrielly da Costa	(Decimal('-37.853847'), Decimal('49.416775'))	rebeca45@ig.com.br	298
AB+	14	伊藤水産株式会社	2025-03-02	青森県長生郡長柄町細竹5丁目4番5号 細野アーバン294	航海士	174-42-8264	reitakahashi		太田 花子	(Decimal('84.3548405'), Decimal('140.301109'))	yamadamaaya@gmail.com	422
B-	1459	有限会社山田鉱業	2024/07/11	東京都墨田区京橋34丁目7番14号		600-79-6316	akira25		佐藤 里佳	(Decimal('26.7565975'), Decimal('119.194841'))	rito@yahoo.com	69
B+	1804	Lyons-Bryant	2025/01/20	"8297 Martin Fall Apt. 683
West Marychester, PA 61378"	Accountant, chartered management	635-53-6993	nelsonmichelle		Megan Foley	(Decimal('10.921807'), Decimal('-81.629107'))	marykey@gmail.com	60
AB+	1003	Cossiga, Alonzi e Grisoni s.r.l.	2019/05/09	"Incrocio Marina, 7 Appartamento 51
63083, Appignano Del Tronto (AP)"		BCCFLV44M44G959E	botticellistefania		Bianca Roccabonella	(Decimal('83.279087'), Decimal('132.532611'))	tinaagostinelli@tele2.it	616
AB+	1737	Bell-Rodriguez	2023-11-12	"PSC 4423, Box 6101
APO AE 58369"		283-64-4603	ptaylor		Caitlin Allison	(Decimal('-60.022148'), Decimal('152.830963'))	maria14@yahoo.com	349
O-	246	da Rosa	2025/05/21	"Viaduto de Souza, 49
Conjunto Jardim Filadélfia
86288-212 Caldeira / CE"	Lutador de taekwondo	83076925121	enriconunes		Luiz Henrique Moraes	(Decimal('-42.3462905'), Decimal('-162.633132'))	aviana@ig.com.br	95
O+	337	Cannon-Black	11/15/2021, 00:00:00	"03413 Ramirez Glen Apt. 343
East Ronald, ND 43564"	Licensed conveyancer	647-21-2069	carlosbaxter		Lance Rowe	(Decimal('8.596530'), Decimal('45.310085'))	reynoldscatherine@yahoo.com	590
AB-	1715	Römer GbR	2021/03/04			651-01-7931	wielandhenk		Univ.Prof. Friedhelm Lange	(Decimal('-43.753912'), Decimal('26.174946'))	ddoering@gmx.de	532
A-	1158	佐藤印刷有限会社	21 Oct 2021	群馬県武蔵野市平河町34丁目19番2号 パーク平須賀318	ウェディングプランナー	084-66-2891	naoto80		吉田 くみ子	(Decimal('23.3539185'), Decimal('-82.693620'))	osamuyamamoto@hotmail.com	371
A-	2021	Arnold-Gonzalez	09/11/2022, 00:00:00	"16514 Robert Greens
Annamouth, MI 95108"		399-36-4970	hallstephanie		Barbara Ford	(Decimal('69.2254545'), Decimal('16.583492'))	xrusso@gmail.com	269
O-	333	Duarte	09/17/2023, 00:00:00	"Ladeira de Moraes, 68
Padre Eustáquio
91935064 Dias de Vieira / RS"		13079862503	maria-lauraaparecida		Thiago Dias	(Decimal('-79.8325255'), Decimal('96.975768'))	gbarbosa@uol.com.br	265
B-	160	Davidson-Brown	19 May 2024	"38659 Frazier Circle
Tammyberg, SC 75487"		755-39-3267	mclements		Mario Villanueva	(Decimal('-30.6453145'), Decimal('8.553112'))	bishopedwin@yahoo.com	197
AB+	1692	Kensy	2020-10-31	"Drubweg 7
06033 Biedenkopf"		549-96-5261	schlossersiegmar		Stefan Neuschäfer	(Decimal('27.641775'), Decimal('112.704893'))	weitzelrecep@yahoo.de	497
O+	1702	Kaul Rust GmbH & Co. KG	2022-06-16	"Herrmanngasse 46/16
87950 Passau"		226-42-3494	karl-georgkobelt		Gilda Beier	(Decimal('-14.5356515'), Decimal('124.225802'))	seidelkai-uwe@gmail.com	545
O-	1569	Albers Weiß e.V.	2018-10-23	"Edelbert-Dussen van-Platz 12-70
28030 Jessen"	Pfleger	368-58-9587	rosemannriza		Hans-Helmut Thies	(Decimal('-82.797785'), Decimal('-105.765279'))	qaustermuehle@aol.de	547
AB-	1333	山口ガス有限会社	2024-08-14	岐阜県板橋区一ツ橋5丁目18番10号 鍛冶ケ沢パーク916		153-55-7887	winoue		橋本 七夏	(Decimal('41.7656515'), Decimal('-2.589011'))	mituru78@yahoo.com	289
O-	40	有限会社渡辺建設	02/11/2022, 00:00:00	島根県袖ケ浦市前弥六南町17丁目23番5号 コート京橋686		430-71-1527	jun41		中村 結衣	(Decimal('80.787357'), Decimal('7.895540'))	ryosuke16@yahoo.com	197
B+	1063	山下水産有限会社	2021/12/24	岡山県夷隅郡大多喜町東浅草32丁目25番7号 クレスト竜泉074	お笑い芸人	539-96-2953	itoyuta		佐藤 舞	(Decimal('-37.0856475'), Decimal('146.269984'))	otanaoki@yahoo.com	331
AB-	381	Sharp, Sullivan and Osborn	2025/06/14	"09676 William Lake
West Brentberg, WY 31923"		556-63-0709	lindsey79		Rodney Harris	(Decimal('-14.4338905'), Decimal('-143.766601'))	leonard12@hotmail.com	455
A-	199	Barbosa Pires S/A	08 Jul 2019	"Esplanada Ana Sophia Brito, 39
Conjunto Bonsucesso
26722453 Duarte da Serra / MG"		69082157411	melina83		Emilly Jesus		maria-lizcasa-grande@bol.com.br	558
A-	1376	有限会社伊藤通信	2021/03/29	滋賀県夷隅郡大多喜町二つ室28丁目20番6号		200-26-0889	tsubasa09		木村 康弘	(Decimal('-18.933811'), Decimal('66.551145'))	nakamurayuki@yahoo.com	106
O-	805	Anderson, Carter and Gibson	26 Jul 2025	"13656 Whitney Place Apt. 942
Lake Christopher, HI 36692"		754-83-8400	carlos74		Aaron Coleman	(Decimal('-58.443542'), Decimal('-7.357921'))	kim37@yahoo.com	406
O-	845	Stone, Torres and Hernandez	04/07/2024, 00:00:00	"727 Wilson Crescent
Port Chelsea, SC 56210"		333-26-6694	robert56		Latasha Liu	(Decimal('-59.960167'), Decimal('-69.292274'))	andreabrown@gmail.com	268
A-	4	Grein Groth	12/19/2019, 00:00:00			498-63-1171	madlenjunck		Herr Randolf Bender B.Eng.		wenkehermighausen@googlemail.com	141
A+	1720	Correia	03 Dec 2020	"Favela de Sá, 24
Vila Jardim Montanhes
64211-919 Cardoso / CE"		08273519686	tnogueira		Aylla Viana	(Decimal('-18.8622185'), Decimal('-41.261341'))	barrosmaria-clara@uol.com.br	440
B-	251	Machado	2025/06/15	"Viela Novaes, 24
Itaipu
73398-594 Caldeira / PI"		18064257930	caio24		João Guilherme Ferreira	(Decimal('51.383267'), Decimal('-19.243294'))	montenegrobenicio@ig.com.br	144
AB-	1767	Silveira	01/06/2022, 00:00:00	"Fazenda de Alves
Grajaú
46892754 Oliveira de Minas / DF"		57021834608	aragaoyuri		Thomas da Paz	(Decimal('79.422306'), Decimal('-66.746036'))	mourafelipe@gmail.com	66
B-	1815	合同会社近藤ガス	2024/03/21	長崎県安房郡鋸南町東上野13丁目25番14号 コート東和町050	高等学校教員	363-47-3613	yosuke26		松田 直子	(Decimal('-35.4615735'), Decimal('43.893820'))	hidekiota@yahoo.com	31
A+	1249	森ガス株式会社	2021/12/14	徳島県川崎市川崎区元浅草21丁目9番16号 シャルム港南692	グラフィックデザイナー	778-58-2710	yukitakahashi		吉田 修平	(Decimal('87.267917'), Decimal('-18.073789'))	nakajimakumiko@hotmail.com	591
AB+	2005	Hiller Segebahn AG & Co. KG	2021/09/22	"Holger-Henschel-Ring 5829
04780 Rockenhausen"		818-61-2221	ottfriedscholl		Hans-Joachim Ullmann	(Decimal('-47.3122575'), Decimal('-133.003668'))	jaekelmarlen@aol.de	708
AB+	1136	Jesus Nascimento S.A.	13 Jan 2024	"Residencial Sampaio
São Geraldo
69461-966 Farias / CE"		19064728585	maria-isis25		Clara Araújo	(Decimal('4.2268645'), Decimal('-99.755868'))	valentim86@hotmail.com	312
A-	240	Gieß Rörricht e.G.	01 Jun 2019	"Utz-Juncken-Platz 95/60
55880 Sankt Goar"		124-13-7321	roerrichtcornelius		Cäcilie Buchholz-Sager	(Decimal('-70.0651595'), Decimal('113.862505'))	alban01@yahoo.de	640
AB-	120	Carullo-Sollima Group	08/17/2020, 00:00:00	"Piazza Ivan, 2
63072, Ripaberarda (AP)"	Operational researcher	GRGLRN19L04D851Y	pacomiorossana		Antonino Baresi	(Decimal('-77.6087695'), Decimal('-10.972442'))	ybettin@libero.it	440
A+	107	有限会社高橋電気	09 Dec 2022	茨城県大網白里市細竹22丁目24番10号 麹町パーク547		225-93-5637	zmori		村上 直人	(Decimal('63.7996945'), Decimal('-162.838965'))	kaoriishikawa@yahoo.com	86
B+	244	Foster, Cooper and Mendoza	08/02/2025, 00:00:00	"575 Garcia Square
Port Michele, AZ 38919"	Accountant, chartered management	348-09-7171	melissajohnson		Hunter Hess	(Decimal('42.507542'), Decimal('122.553352'))	hansonamanda@yahoo.com	429
AB+	1092	Bolnbach	2023/02/15	"Gertzweg 2
81792 Soest"		937-60-9362	margarete59		Dr. Magrit Budig B.Eng.	(Decimal('-36.1628325'), Decimal('-112.729420'))	xaverkrein@gmail.com	122
A-	1069	Abreu Campos - EI	12/29/2021, 00:00:00	"Avenida de Rezende
Vila Antena Montanhês
41192242 Aragão do Oeste / PB"		34728015653	vasconcelosmirella		Ravy Montenegro	(Decimal('54.1286545'), Decimal('92.869719'))	da-rosapedro-henrique@ig.com.br	648
O+	1349	da Mata S/A	12/10/2020, 00:00:00	"Esplanada Novais, 39
Camponesa 1ª Seção
84092601 Barros / DF"		72365184928	clima		Pedro Lucas Aragão	(Decimal('29.955556'), Decimal('-165.583559'))	diogosiqueira@yahoo.com.br	504
A+	898	Marques	08/17/2023, 00:00:00	"Núcleo Alexandre Vieira, 6
Vila São Geraldo
58796-924 Câmara / GO"	Avalista	18743290604	maria-vitoria47		Amanda Aparecida	(Decimal('38.571328'), Decimal('-66.517863'))	eduarda04@hotmail.com	550
